   , Title                                                                                                                                                                                                          , Link                                                                                                                                                                                                                                                 , Price, Stock
 13, Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)                                                                                                                                                        , https://books.toscrape.com/cataloguescott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html                                                                                                                                               , 52.29, In stock
 14, Rip it Up and Start Again                                                                                                                                                                                      , https://books.toscrape.com/cataloguerip-it-up-and-start-again_986/index.html                                                                                                                                                                         , 35.02, In stock
 15, "Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"                                                                                                                           , https://books.toscrape.com/catalogueour-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html                                                                                                                  , 57.25, In stock
 16, Olio                                                                                                                                                                                                           , https://books.toscrape.com/catalogueolio_984/index.html                                                                                                                                                                                              , 23.88, In stock
 17, Mesaerion: The Best Science Fiction Stories 1800-1849                                                                                                                                                          , https://books.toscrape.com/cataloguemesaerion-the-best-science-fiction-stories-1800-1849_983/index.html                                                                                                                                              , 37.59, In stock
 18, Libertarianism for Beginners                                                                                                                                                                                   , https://books.toscrape.com/cataloguelibertarianism-for-beginners_982/index.html                                                                                                                                                                      , 51.33, In stock
 19, It's Only the Himalayas                                                                                                                                                                                        , https://books.toscrape.com/catalogueits-only-the-himalayas_981/index.html                                                                                                                                                                            , 45.17, In stock
 20, In Her Wake                                                                                                                                                                                                    , https://books.toscrape.com/cataloguein-her-wake_980/index.html                                                                                                                                                                                       , 12.84, In stock
 21, How Music Works                                                                                                                                                                                                , https://books.toscrape.com/cataloguehow-music-works_979/index.html                                                                                                                                                                                   , 37.32, In stock
 22, "Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"                              , https://books.toscrape.com/cataloguefoolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html                             , 30.52, In stock
 23, Chase Me (Paris Nights #2)                                                                                                                                                                                     , https://books.toscrape.com/cataloguechase-me-paris-nights-2_977/index.html                                                                                                                                                                           , 25.27, In stock
 24, Black Dust                                                                                                                                                                                                     , https://books.toscrape.com/catalogueblack-dust_976/index.html                                                                                                                                                                                        , 34.53, In stock
 25, Birdsong: A Story in Pictures                                                                                                                                                                                  , https://books.toscrape.com/cataloguebirdsong-a-story-in-pictures_975/index.html                                                                                                                                                                      , 54.64, In stock
 26, America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana                                                                                                    , https://books.toscrape.com/catalogueamericas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html                                                                                          , 22.50, In stock
 27, Aladdin and His Wonderful Lamp                                                                                                                                                                                 , https://books.toscrape.com/cataloguealaddin-and-his-wonderful-lamp_973/index.html                                                                                                                                                                    , 53.13, In stock
 28, Worlds Elsewhere: Journeys Around Shakespeareâs Globe                                                                                                                                                          , https://books.toscrape.com/catalogueworlds-elsewhere-journeys-around-shakespeares-globe_972/index.html                                                                                                                                               , 40.30, In stock
 29, Wall and Piece                                                                                                                                                                                                 , https://books.toscrape.com/cataloguewall-and-piece_971/index.html                                                                                                                                                                                    , 44.18, In stock
 30, The Four Agreements: A Practical Guide to Personal Freedom                                                                                                                                                     , https://books.toscrape.com/cataloguethe-four-agreements-a-practical-guide-to-personal-freedom_970/index.html                                                                                                                                         , 17.66, In stock
 31, The Five Love Languages: How to Express Heartfelt Commitment to Your Mate                                                                                                                                      , https://books.toscrape.com/cataloguethe-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html                                                                                                                          , 31.05, In stock
 32, The Elephant Tree                                                                                                                                                                                              , https://books.toscrape.com/cataloguethe-elephant-tree_968/index.html                                                                                                                                                                                 , 23.82, In stock
 33, The Bear and the Piano                                                                                                                                                                                         , https://books.toscrape.com/cataloguethe-bear-and-the-piano_967/index.html                                                                                                                                                                            , 36.89, In stock
 34, Sophie's World                                                                                                                                                                                                 , https://books.toscrape.com/cataloguesophies-world_966/index.html                                                                                                                                                                                     , 15.94, In stock
 35, Penny Maybe                                                                                                                                                                                                    , https://books.toscrape.com/cataloguepenny-maybe_965/index.html                                                                                                                                                                                       , 33.29, In stock
 36, Maude (1883-1993):She Grew Up with the country                                                                                                                                                                 , https://books.toscrape.com/cataloguemaude-1883-1993she-grew-up-with-the-country_964/index.html                                                                                                                                                       , 18.02, In stock
 37, "In a Dark, Dark Wood"                                                                                                                                                                                         , https://books.toscrape.com/cataloguein-a-dark-dark-wood_963/index.html                                                                                                                                                                               , 19.63, In stock
 38, Behind Closed Doors                                                                                                                                                                                            , https://books.toscrape.com/cataloguebehind-closed-doors_962/index.html                                                                                                                                                                               , 52.22, In stock
 39, You can't bury them all: Poems                                                                                                                                                                                 , https://books.toscrape.com/catalogueyou-cant-bury-them-all-poems_961/index.html                                                                                                                                                                      , 33.63, In stock
 40, Slow States of Collapse: Poems                                                                                                                                                                                 , https://books.toscrape.com/catalogueslow-states-of-collapse-poems_960/index.html                                                                                                                                                                     , 57.31, In stock
 41, Reasons to Stay Alive                                                                                                                                                                                          , https://books.toscrape.com/cataloguereasons-to-stay-alive_959/index.html                                                                                                                                                                             , 26.41, In stock
 42, Private Paris (Private #10)                                                                                                                                                                                    , https://books.toscrape.com/catalogueprivate-paris-private-10_958/index.html                                                                                                                                                                          , 47.61, In stock
 43, #HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.                                                                                                                                             , https://books.toscrape.com/cataloguehigherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html                                                                                                                                     , 23.11, In stock
 44, Without Borders (Wanderlove #1)                                                                                                                                                                                , https://books.toscrape.com/cataloguewithout-borders-wanderlove-1_956/index.html                                                                                                                                                                      , 45.07, In stock
 45, When We Collided                                                                                                                                                                                               , https://books.toscrape.com/cataloguewhen-we-collided_955/index.html                                                                                                                                                                                  , 31.77, In stock
 46, "We Love You, Charlie Freeman"                                                                                                                                                                                 , https://books.toscrape.com/cataloguewe-love-you-charlie-freeman_954/index.html                                                                                                                                                                       , 50.27, In stock
 47, Untitled Collection: Sabbath Poems 2014                                                                                                                                                                        , https://books.toscrape.com/catalogueuntitled-collection-sabbath-poems-2014_953/index.html                                                                                                                                                            , 14.27, In stock
 48, "Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness"                                                                                                    , https://books.toscrape.com/catalogueunseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html                                                                                             , 44.18, In stock
 49, Unicorn Tracks                                                                                                                                                                                                 , https://books.toscrape.com/catalogueunicorn-tracks_951/index.html                                                                                                                                                                                    , 18.78, In stock
 50, "Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink"                                                                                                       , https://books.toscrape.com/catalogueunbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html                                                                                               , 25.52, In stock
 51, Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)                                                                                                                                                        , https://books.toscrape.com/cataloguetsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html                                                                                                                                               , 16.28, In stock
 52, Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity                                                                                                                                    , https://books.toscrape.com/cataloguethrowing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html                                                                                                                        , 31.12, In stock
 53, This One Summer                                                                                                                                                                                                , https://books.toscrape.com/cataloguethis-one-summer_947/index.html                                                                                                                                                                                   , 19.49, In stock
 54, Thirst                                                                                                                                                                                                         , https://books.toscrape.com/cataloguethirst_946/index.html                                                                                                                                                                                            , 17.27, In stock
 55, The Torch Is Passed: A Harding Family Story                                                                                                                                                                    , https://books.toscrape.com/cataloguethe-torch-is-passed-a-harding-family-story_945/index.html                                                                                                                                                        , 19.09, In stock
 56, The Secret of Dreadwillow Carse                                                                                                                                                                                , https://books.toscrape.com/cataloguethe-secret-of-dreadwillow-carse_944/index.html                                                                                                                                                                   , 56.13, In stock
 57, "The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!"                                                                              , https://books.toscrape.com/cataloguethe-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html                                                                         , 56.41, In stock
 58, The Past Never Ends                                                                                                                                                                                            , https://books.toscrape.com/cataloguethe-past-never-ends_942/index.html                                                                                                                                                                               , 56.50, In stock
 59, The Natural History of Us (The Fine Art of Pretending #2)                                                                                                                                                      , https://books.toscrape.com/cataloguethe-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html                                                                                                                                            , 45.22, In stock
 60, The Nameless City (The Nameless City #1)                                                                                                                                                                       , https://books.toscrape.com/cataloguethe-nameless-city-the-nameless-city-1_940/index.html                                                                                                                                                             , 38.16, In stock
 61, The Murder That Never Was (Forensic Instincts #5)                                                                                                                                                              , https://books.toscrape.com/cataloguethe-murder-that-never-was-forensic-instincts-5_939/index.html                                                                                                                                                    , 54.11, In stock
 62, The Most Perfect Thing: Inside (and Outside) a Bird's Egg                                                                                                                                                      , https://books.toscrape.com/cataloguethe-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html                                                                                                                                             , 42.96, In stock
 63, "The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy"                                                       , https://books.toscrape.com/cataloguethe-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html                                               , 23.89, In stock
 64, The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing                                                                                                                         , https://books.toscrape.com/cataloguethe-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html                                                                                                             , 16.77, In stock
 65, "The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer"                                                                                                                           , https://books.toscrape.com/cataloguethe-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html                                                                                                                  , 20.59, In stock
 66, The Gutsy Girl: Escapades for Your Life of Epic Adventure                                                                                                                                                      , https://books.toscrape.com/cataloguethe-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html                                                                                                                                          , 37.13, In stock
 67, The Electric Pencil: Drawings from Inside State Hospital No. 3                                                                                                                                                 , https://books.toscrape.com/cataloguethe-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html                                                                                                                                      , 56.06, In stock
 68, The Death of Humanity: and the Case for Life                                                                                                                                                                   , https://books.toscrape.com/cataloguethe-death-of-humanity-and-the-case-for-life_932/index.html                                                                                                                                                       , 58.11, In stock
 69, "The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life"                                                                                                                  , https://books.toscrape.com/cataloguethe-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html                                                                                                          , 49.05, In stock
 70, The Art Forger                                                                                                                                                                                                 , https://books.toscrape.com/cataloguethe-art-forger_930/index.html                                                                                                                                                                                    , 40.76, In stock
 71, The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind                                                                                                                                    , https://books.toscrape.com/cataloguethe-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html                                                                                                                        , 19.73, In stock
 72, The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution                                                                                                                                            , https://books.toscrape.com/cataloguethe-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html                                                                                                                                 , 32.24, In stock
 73, Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up                                                                                                                                 , https://books.toscrape.com/cataloguespark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html                                                                                                                     , 41.83, In stock
 74, Soul Reader                                                                                                                                                                                                    , https://books.toscrape.com/cataloguesoul-reader_926/index.html                                                                                                                                                                                       , 39.58, In stock
 75, Security                                                                                                                                                                                                       , https://books.toscrape.com/cataloguesecurity_925/index.html                                                                                                                                                                                          , 39.25, In stock
 76, "Saga, Volume 6 (Saga (Collected Editions) #6)"                                                                                                                                                                , https://books.toscrape.com/cataloguesaga-volume-6-saga-collected-editions-6_924/index.html                                                                                                                                                           , 25.02, In stock
 77, "Saga, Volume 5 (Saga (Collected Editions) #5)"                                                                                                                                                                , https://books.toscrape.com/cataloguesaga-volume-5-saga-collected-editions-5_923/index.html                                                                                                                                                           , 51.04, In stock
 78, Reskilling America: Learning to Labor in the Twenty-First Century                                                                                                                                              , https://books.toscrape.com/cataloguereskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html                                                                                                                                  , 19.83, In stock
 79, "Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)"                                                                                                                                          , https://books.toscrape.com/cataloguerat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html                                                                                                                                       , 50.40, In stock
 80, "Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)"                                                                                                                            , https://books.toscrape.com/catalogueprincess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html                                                                                                                      , 13.61, In stock
 81, Princess Between Worlds (Wide-Awake Princess #5)                                                                                                                                                               , https://books.toscrape.com/catalogueprincess-between-worlds-wide-awake-princess-5_919/index.html                                                                                                                                                     , 13.34, In stock
 82, "Pop Gun War, Volume 1: Gift"                                                                                                                                                                                  , https://books.toscrape.com/cataloguepop-gun-war-volume-1-gift_918/index.html                                                                                                                                                                         , 18.97, In stock
 83, "Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics"                                          , https://books.toscrape.com/cataloguepolitical-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html                                      , 36.28, In stock
 84, Patience                                                                                                                                                                                                       , https://books.toscrape.com/cataloguepatience_916/index.html                                                                                                                                                                                          , 10.16, In stock
 85, "Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)"                                                                                                                                                       , https://books.toscrape.com/catalogueoutcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html                                                                                                                                                  , 15.44, In stock
 86, orange: The Complete Collection 1 (orange: The Complete Collection #1)                                                                                                                                         , https://books.toscrape.com/catalogueorange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html                                                                                                                                 , 48.41, In stock
 87, Online Marketing for Busy Authors: A Step-By-Step Guide                                                                                                                                                        , https://books.toscrape.com/catalogueonline-marketing-for-busy-authors-a-step-by-step-guide_913/index.html                                                                                                                                            , 46.35, In stock
 88, On a Midnight Clear                                                                                                                                                                                            , https://books.toscrape.com/catalogueon-a-midnight-clear_912/index.html                                                                                                                                                                               , 14.07, In stock
 89, Obsidian (Lux #1)                                                                                                                                                                                              , https://books.toscrape.com/catalogueobsidian-lux-1_911/index.html                                                                                                                                                                                    , 14.86, In stock
 90, My Paris Kitchen: Recipes and Stories                                                                                                                                                                          , https://books.toscrape.com/cataloguemy-paris-kitchen-recipes-and-stories_910/index.html                                                                                                                                                              , 33.37, In stock
 91, Masks and Shadows                                                                                                                                                                                              , https://books.toscrape.com/cataloguemasks-and-shadows_909/index.html                                                                                                                                                                                 , 56.40, In stock
 92, "Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed"                                                                                                                          , https://books.toscrape.com/cataloguemama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html                                                                                                                   , 14.02, In stock
 93, "Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)"                                                                                                                                                , https://books.toscrape.com/cataloguelumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html                                                                                                                                           , 46.91, In stock
